epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.75001,1.77052,3.15107,2.61776,0.044,0.81481,0.09755,0.05492,1.20569,3.08172,2.42072,8e-05,8e-05,8e-05
2,5.75874,1.6765,3.13027,2.63714,0.97254,0.32793,0.66962,0.46028,0.98815,2.39635,2.12459,0.000179109,0.000179109,0.000179109
3,9.72861,0.95236,2.20039,1.95473,0.79207,0.83333,0.87426,0.70113,0.68988,1.1347,1.96515,0.000277228,0.000277228,0.000277228
4,13.6734,0.75406,1.184,1.80199,0.93009,0.97531,0.98754,0.79527,0.6286,1.69164,1.83242,0.000374357,0.000374357,0.000374357
5,17.4227,0.65727,0.80209,1.6579,0.95214,0.98148,0.99275,0.87455,0.55439,0.79665,1.81675,0.000470496,0.000470496,0.000470496
6,21.1106,0.61011,0.69581,1.70275,0.97808,0.9784,0.99361,0.86094,0.59507,0.68763,2.05911,0.000565645,0.000565645,0.000565645
7,24.379,0.64842,0.65423,1.78457,0.95015,0.99074,0.99365,0.85616,0.57582,0.76197,1.91964,0.000659804,0.000659804,0.000659804
8,27.6461,0.62457,0.59722,1.76517,0.90004,0.99074,0.99231,0.87287,0.58552,0.98524,1.89104,0.000752973,0.000752973,0.000752973
9,30.9117,0.65463,0.59154,1.80708,0.9359,0.97531,0.9915,0.86966,0.57804,0.94092,1.98117,0.000845152,0.000845152,0.000845152
10,34.2298,0.59333,0.57445,1.80825,0.93414,0.9784,0.99173,0.84123,0.64851,0.98192,2.05939,0.000936341,0.000936341,0.000936341
11,37.519,0.56585,0.52799,1.64439,0.92983,0.98765,0.99258,0.85299,0.60419,1.11342,2.03025,0.00102654,0.00102654,0.00102654
12,40.8079,0.67377,0.5557,1.63748,0.97484,0.98148,0.99288,0.85232,0.60321,0.835,2.16689,0.00111575,0.00111575,0.00111575
13,44.0576,0.60082,0.51676,1.5936,0.98426,0.9652,0.98706,0.77299,0.77825,0.70495,2.30878,0.00120397,0.00120397,0.00120397
14,47.3173,0.6939,0.58381,1.75353,0.98426,0.9652,0.98706,0.77299,0.77825,0.70495,2.30878,0.0012912,0.0012912,0.0012912
15,50.5431,0.62866,0.55123,1.65616,0.98668,0.91469,0.97714,0.80639,0.68309,0.67979,2.13205,0.00137744,0.00137744,0.00137744
16,53.7949,0.63052,0.5094,1.59069,0.97687,0.94136,0.98581,0.79944,0.7188,0.85686,2.20019,0.00146269,0.00146269,0.00146269
17,57.0398,0.64968,0.51503,1.63946,0.94066,0.92965,0.98077,0.83025,0.661,0.86781,2.00043,0.00154694,0.00154694,0.00154694
18,60.2725,0.60459,0.50206,1.61632,0.94066,0.92965,0.98077,0.83025,0.661,0.86781,2.00043,0.00163021,0.00163021,0.00163021
19,63.5011,0.66259,0.49461,1.68467,0.9669,0.91358,0.97079,0.77398,0.80189,0.66261,2.37101,0.00171249,0.00171249,0.00171249
20,66.7332,0.66851,0.50739,1.71012,0.90627,0.70062,0.81212,0.67533,0.86487,0.94265,2.31814,0.00179378,0.00179378,0.00179378
21,69.9562,0.59752,0.5202,1.57052,0.90627,0.70062,0.81212,0.67533,0.86487,0.94265,2.31814,0.001802,0.001802,0.001802
22,73.1953,0.60386,0.48187,1.75049,0.8309,0.59145,0.6981,0.5763,0.87923,1.19633,2.63752,0.0017921,0.0017921,0.0017921
23,76.4514,0.58394,0.45397,1.77769,0.90218,0.5124,0.6414,0.52694,0.94953,1.3043,2.1035,0.0017822,0.0017822,0.0017822
24,79.6832,0.58297,0.4515,1.59703,0.90218,0.5124,0.6414,0.52694,0.94953,1.3043,2.1035,0.0017723,0.0017723,0.0017723
25,82.8961,0.58365,0.44565,1.55511,0.90732,0.6358,0.71138,0.6125,0.80247,1.13955,1.94114,0.0017624,0.0017624,0.0017624
26,86.1282,0.5971,0.45028,1.52613,0.90732,0.6358,0.71138,0.6125,0.80247,1.13955,1.94114,0.0017525,0.0017525,0.0017525
27,89.3472,0.55229,0.43089,1.58622,0.92566,0.74691,0.84214,0.71503,0.73084,0.89674,2.10344,0.0017426,0.0017426,0.0017426
28,92.5838,0.55933,0.41605,1.62981,0.96434,0.83462,0.93827,0.81774,0.60816,0.69496,1.93761,0.0017327,0.0017327,0.0017327
29,95.7896,0.5763,0.43548,1.71583,0.96434,0.83462,0.93827,0.81774,0.60816,0.69496,1.93761,0.0017228,0.0017228,0.0017228
30,99.0255,0.55579,0.42888,1.64447,0.98118,0.96535,0.98909,0.85493,0.59104,0.5023,2.06901,0.0017129,0.0017129,0.0017129
31,102.255,0.51388,0.40473,1.57719,0.9869,0.94753,0.98214,0.83331,0.66891,0.49597,2.04971,0.001703,0.001703,0.001703
32,105.475,0.5459,0.41662,1.51103,0.9869,0.94753,0.98214,0.83331,0.66891,0.49597,2.04971,0.0016931,0.0016931,0.0016931
33,108.666,0.54302,0.41676,1.52024,0.99211,0.90432,0.96517,0.82117,0.64991,0.53912,1.91586,0.0016832,0.0016832,0.0016832
34,111.868,0.56839,0.41367,1.46355,0.99211,0.90432,0.96517,0.82117,0.64991,0.53912,1.91586,0.0016733,0.0016733,0.0016733
35,115.099,0.54528,0.41157,1.54686,0.97717,0.92492,0.97596,0.84133,0.5871,0.48668,2.01536,0.0016634,0.0016634,0.0016634
36,118.315,0.53782,0.40115,1.55019,0.96613,0.96832,0.9888,0.87058,0.56305,0.46612,1.9366,0.0016535,0.0016535,0.0016535
37,121.531,0.51427,0.39564,1.57483,0.96613,0.96832,0.9888,0.87058,0.56305,0.46612,1.9366,0.0016436,0.0016436,0.0016436
38,124.76,0.53072,0.39007,1.52112,0.98125,0.96928,0.99155,0.86184,0.62059,0.44005,1.95875,0.0016337,0.0016337,0.0016337
39,127.995,0.52325,0.37731,1.47701,0.97817,0.93827,0.97428,0.8424,0.62378,0.50457,2.22751,0.0016238,0.0016238,0.0016238
40,131.2,0.52096,0.37519,1.67695,0.97817,0.93827,0.97428,0.8424,0.62378,0.50457,2.22751,0.0016139,0.0016139,0.0016139
41,134.41,0.527,0.38066,1.5959,0.98382,0.89506,0.94359,0.81605,0.66959,0.58432,2.1049,0.001604,0.001604,0.001604
42,137.61,0.53584,0.37896,1.55292,0.98382,0.89506,0.94359,0.81605,0.66959,0.58432,2.1049,0.0015941,0.0015941,0.0015941
43,140.824,0.52594,0.38598,1.59338,0.97872,0.94444,0.98785,0.87244,0.58108,0.48903,2.0519,0.0015842,0.0015842,0.0015842
44,144.042,0.5057,0.37002,1.49441,0.98088,0.9501,0.98872,0.87073,0.58276,0.48184,2.02873,0.0015743,0.0015743,0.0015743
45,147.238,0.48482,0.36427,1.56835,0.98088,0.9501,0.98872,0.87073,0.58276,0.48184,2.02873,0.0015644,0.0015644,0.0015644
46,150.473,0.49642,0.35363,1.57124,0.98275,0.87923,0.95807,0.85426,0.54341,0.57748,2.03099,0.0015545,0.0015545,0.0015545
47,153.701,0.46459,0.33963,1.50296,0.97298,0.88917,0.96802,0.86909,0.50732,0.52067,1.9277,0.0015446,0.0015446,0.0015446
48,156.932,0.47504,0.34651,1.58869,0.97298,0.88917,0.96802,0.86909,0.50732,0.52067,1.9277,0.0015347,0.0015347,0.0015347
49,160.13,0.48955,0.33879,1.60069,0.99283,0.92284,0.9834,0.87171,0.54181,0.46166,2.02979,0.0015248,0.0015248,0.0015248
50,163.342,0.46909,0.32938,1.536,0.99283,0.92284,0.9834,0.87171,0.54181,0.46166,2.02979,0.0015149,0.0015149,0.0015149
51,166.559,0.47799,0.34349,1.45758,0.98351,0.91049,0.98039,0.8766,0.54262,0.47815,1.94072,0.001505,0.001505,0.001505
52,170.163,0.48057,0.33702,1.55831,0.99298,0.87316,0.95128,0.85215,0.58763,0.55889,2.17683,0.0014951,0.0014951,0.0014951
53,173.366,0.56016,0.35864,1.60288,0.99298,0.87316,0.95128,0.85215,0.58763,0.55889,2.17683,0.0014852,0.0014852,0.0014852
54,176.605,0.51789,0.35128,1.58146,0.96586,0.87307,0.94887,0.84587,0.5917,0.62675,2.14741,0.0014753,0.0014753,0.0014753
55,179.825,0.48034,0.33798,1.56957,0.98307,0.91667,0.97648,0.86234,0.58001,0.56624,1.91904,0.0014654,0.0014654,0.0014654
56,183.045,0.46692,0.3378,1.55335,0.98307,0.91667,0.97648,0.86234,0.58001,0.56624,1.91904,0.0014555,0.0014555,0.0014555
57,186.292,0.47947,0.33742,1.53818,0.97526,0.94444,0.97864,0.86806,0.58015,0.51972,1.9291,0.0014456,0.0014456,0.0014456
58,189.509,0.49456,0.34261,1.47358,0.97526,0.94444,0.97864,0.86806,0.58015,0.51972,1.9291,0.0014357,0.0014357,0.0014357
59,192.726,0.50801,0.35318,1.43074,0.97503,0.96421,0.98883,0.88437,0.53636,0.43714,1.90601,0.0014258,0.0014258,0.0014258
60,196.331,0.4997,0.35012,1.4995,0.99044,0.95949,0.99057,0.88626,0.55674,0.4175,1.92002,0.0014159,0.0014159,0.0014159
61,199.936,0.46082,0.32552,1.46776,0.99044,0.95949,0.99057,0.88626,0.55674,0.4175,1.92002,0.001406,0.001406,0.001406
62,203.549,0.45197,0.31952,1.49935,0.98725,0.95584,0.99214,0.8943,0.54283,0.39503,1.91797,0.0013961,0.0013961,0.0013961
63,207.152,0.45003,0.3155,1.51363,0.99354,0.93827,0.99085,0.88062,0.57148,0.40205,2.03145,0.0013862,0.0013862,0.0013862
64,210.375,0.4843,0.32145,1.53578,0.99354,0.93827,0.99085,0.88062,0.57148,0.40205,2.03145,0.0013763,0.0013763,0.0013763
