epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.20274,2.01901,3.5636,2.86945,0.033,0.61111,0.03267,0.00983,1.3509,3.34333,2.4858,8e-05,8e-05,8e-05
2,4.67387,1.72454,3.48632,2.66966,0.05217,0.96605,0.18341,0.07155,0.96478,2.80701,2.12818,0.000176436,0.000176436,0.000176436
3,8.13407,1.09034,2.68785,1.99737,0.78223,0.77778,0.84049,0.48563,0.94879,1.65395,2.02817,0.000268912,0.000268912,0.000268912
4,11.4587,0.96913,1.622,1.97557,0.86788,0.98148,0.96074,0.74304,0.71175,1.39344,1.98955,0.000357428,0.000357428,0.000357428
5,14.5478,0.85878,1.18316,1.81329,0.98105,0.9589,0.98114,0.80287,0.70177,0.88762,1.97707,0.000441984,0.000441984,0.000441984
6,17.5709,0.78024,1.00999,1.80215,0.98648,0.95988,0.98072,0.83252,0.62725,0.75025,1.84126,0.00052258,0.00052258,0.00052258
7,20.4762,0.81472,0.99595,1.89276,0.9986,0.97531,0.98516,0.81622,0.63833,0.88178,1.90955,0.000599216,0.000599216,0.000599216
8,23.0639,0.72504,0.87859,1.83451,0.99838,0.96914,0.98515,0.82831,0.63691,0.79267,1.88776,0.000671892,0.000671892,0.000671892
9,25.6169,0.73507,0.87037,1.79142,0.9717,0.97531,0.98064,0.81768,0.61408,0.71791,1.85246,0.000740608,0.000740608,0.000740608
10,28.1424,0.76085,0.86238,1.8475,0.99903,0.97222,0.98587,0.83238,0.63996,0.59872,1.8594,0.000805364,0.000805364,0.000805364
11,31.0032,0.72319,0.74584,1.79508,0.99377,0.98394,0.98721,0.83516,0.65415,0.64633,1.9313,0.00086616,0.00086616,0.00086616
12,33.8422,0.71963,0.72659,1.71899,0.99681,0.98148,0.98756,0.86118,0.61694,0.56066,1.89868,0.000922996,0.000922996,0.000922996
13,36.7017,0.64283,0.64591,1.63262,0.99637,0.97222,0.98745,0.80455,0.78596,0.59279,2.06326,0.000975872,0.000975872,0.000975872
14,39.2495,0.72772,0.64892,1.79812,0.99637,0.97222,0.98745,0.80455,0.78596,0.59279,2.06326,0.00102479,0.00102479,0.00102479
15,41.7637,0.77473,0.67961,1.7535,0.99664,0.98457,0.98788,0.84607,0.66746,0.58094,1.99584,0.00106974,0.00106974,0.00106974
