epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.92103,2.25381,3.20467,2.65129,0.04183,0.77469,0.08002,0.02675,1.58576,2.69731,2.32946,8e-05,8e-05,8e-05
2,3.73888,1.82854,2.85137,2.31094,0.65879,0.57716,0.62908,0.32253,1.07115,1.83799,1.88953,0.000176436,0.000176436,0.000176436
3,5.77043,1.39727,2.21175,2.05181,0.6671,0.75926,0.70913,0.43664,0.92676,1.52767,1.81999,0.000268912,0.000268912,0.000268912
4,7.78853,1.1145,1.77621,1.86145,0.73109,0.93827,0.81901,0.5572,0.83483,1.49414,1.69572,0.000357428,0.000357428,0.000357428
5,9.64182,0.93582,1.37489,1.62101,0.84875,0.96605,0.92201,0.6944,0.75319,1.43207,1.72159,0.000441984,0.000441984,0.000441984
6,11.3708,0.82307,1.15648,1.60767,0.90725,0.96914,0.95213,0.76029,0.71523,1.30858,1.68433,0.00052258,0.00052258,0.00052258
7,12.9123,0.89753,1.16471,1.61334,0.98262,0.98457,0.9939,0.79233,0.75449,0.96619,1.61718,0.000599216,0.000599216,0.000599216
8,14.3644,0.85476,1.04272,1.56732,0.9815,0.98259,0.991,0.79057,0.7293,0.81927,1.68186,0.000671892,0.000671892,0.000671892
9,15.7324,0.83928,0.99885,1.55759,0.9876,0.98326,0.99067,0.82075,0.64879,0.71286,1.68758,0.000740608,0.000740608,0.000740608
10,17.0489,0.82424,0.92605,1.53086,0.98679,0.9784,0.99297,0.76295,0.68369,0.89226,1.8537,0.000805364,0.000805364,0.000805364
11,18.1929,0.83623,0.87061,1.48908,0.98753,0.97736,0.99338,0.79019,0.66378,0.85848,1.77731,0.00086616,0.00086616,0.00086616
12,19.2554,0.77274,0.82621,1.54064,0.98753,0.97731,0.99378,0.84437,0.60062,0.67044,1.6914,0.000922996,0.000922996,0.000922996
13,20.3656,0.74598,0.77537,1.46867,0.99498,0.98148,0.99469,0.83733,0.59774,0.60793,1.64618,0.000975872,0.000975872,0.000975872
14,21.4054,0.79608,0.86493,1.53988,0.99498,0.98148,0.99469,0.83733,0.59774,0.60793,1.64618,0.00102479,0.00102479,0.00102479
15,22.4297,0.80083,0.85943,1.52552,0.98844,0.99074,0.99484,0.77816,0.7218,0.62242,1.75549,0.00106974,0.00106974,0.00106974
16,23.4406,0.74961,0.76662,1.53836,0.99994,0.99074,0.995,0.83254,0.65786,0.57713,1.87908,0.00111074,0.00111074,0.00111074
17,24.4463,0.78064,0.76719,1.50993,0.99937,0.98765,0.99497,0.85899,0.58526,0.55402,1.79868,0.00114778,0.00114778,0.00114778
18,25.4908,0.81171,0.81193,1.47626,0.99937,0.98765,0.99497,0.85899,0.58526,0.55402,1.79868,0.00118085,0.00118085,0.00118085
19,26.5203,0.775,0.75831,1.4326,0.99316,0.98457,0.99385,0.85044,0.58976,0.57693,1.57091,0.00120997,0.00120997,0.00120997
20,27.4835,0.77934,0.73131,1.46141,0.98758,0.98187,0.99148,0.84415,0.62224,0.60735,1.61651,0.00123512,0.00123512,0.00123512
21,28.4502,0.69976,0.69187,1.39733,0.98758,0.98187,0.99148,0.84415,0.62224,0.60735,1.61651,0.001208,0.001208,0.001208
22,29.4155,0.68478,0.67934,1.44958,0.99061,0.97662,0.99371,0.85082,0.60055,0.57418,1.78114,0.0011684,0.0011684,0.0011684
23,30.3674,0.74874,0.77803,1.55898,0.99074,0.99074,0.99481,0.87184,0.5767,0.53133,1.75498,0.0011288,0.0011288,0.0011288
24,31.3584,0.7144,0.67482,1.465,0.99074,0.99074,0.99481,0.87184,0.5767,0.53133,1.75498,0.0010892,0.0010892,0.0010892
25,32.3574,0.69872,0.67205,1.45243,1,0.98743,0.99494,0.86786,0.57071,0.5126,1.62517,0.0010496,0.0010496,0.0010496
