epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3671,2.16927,3.67358,2.55826,0.04267,0.79012,0.10352,0.03392,1.57813,2.67088,2.3299,8e-05,8e-05,8e-05
2,16.556,2.02534,3.40799,2.45435,0.64954,0.45763,0.56082,0.26256,1.18691,2.04002,1.90973,0.00016218,0.00016218,0.00016218
3,20.9194,1.4341,2.47386,2.11569,0.74834,0.71296,0.73719,0.39027,1.08182,1.6182,1.75595,0.00022456,0.00022456,0.00022456
4,25.689,1.21759,2.19294,2.00821,0.73897,0.83007,0.82902,0.53783,0.88128,1.43024,1.65512,0.00026714,0.00026714,0.00026714
5,30.3932,1.00016,1.75287,1.85442,0.80392,0.90432,0.89047,0.62547,0.80102,1.32541,1.63112,0.00028992,0.00028992,0.00028992
6,34.9636,0.9343,1.56922,1.67415,0.82987,0.91667,0.91577,0.678,0.76424,1.20898,1.60376,0.0002929,0.0002929,0.0002929
7,41.4548,0.94823,1.50697,1.67954,0.85634,0.95672,0.95419,0.74061,0.75414,0.96222,1.56431,0.00027608,0.00027608,0.00027608
8,54.2249,0.82184,1.28364,1.52062,0.90919,0.92702,0.97212,0.78656,0.73462,0.8588,1.52528,0.00023946,0.00023946,0.00023946
9,64.6516,0.77473,1.20698,1.51892,0.96703,0.91358,0.98096,0.80883,0.70774,0.80216,1.50737,0.00018304,0.00018304,0.00018304
10,70.4751,0.83121,1.25309,1.46297,0.9683,0.94283,0.98711,0.83095,0.6718,0.74536,1.49831,0.00010682,0.00010682,0.00010682
