epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.00151,2.05196,3.67169,2.4914,0.02333,0.4321,0.02686,0.00891,1.46761,3.2362,2.4255,8e-05,8e-05,8e-05
2,4.0258,1.77011,3.40902,2.28416,0.75728,0.23111,0.51629,0.29665,0.94123,2.24644,1.79872,0.000179109,0.000179109,0.000179109
3,6.45318,1.01704,2.33593,1.61672,0.74261,0.73148,0.81239,0.57257,0.87643,1.43689,1.70389,0.000277228,0.000277228,0.000277228
4,8.93887,0.81774,1.43064,1.4661,0.92961,0.9537,0.96543,0.73184,0.81161,1.00762,1.58288,0.000374357,0.000374357,0.000374357
5,11.306,0.74979,1.1099,1.38239,0.96526,0.96914,0.98845,0.81592,0.67153,0.81579,1.69745,0.000470496,0.000470496,0.000470496
6,13.5916,0.67078,0.96056,1.42439,0.9956,0.96605,0.99421,0.82445,0.64723,0.7497,1.67011,0.000565645,0.000565645,0.000565645
7,15.6872,0.63929,0.84763,1.35739,0.97826,0.97223,0.9913,0.80186,0.65381,0.74752,1.63397,0.000659804,0.000659804,0.000659804
8,17.4355,0.62997,0.796,1.3587,0.99007,0.96605,0.99034,0.79695,0.66861,0.70563,1.56564,0.000752973,0.000752973,0.000752973
9,18.9986,0.65474,0.77631,1.3444,0.99295,0.96914,0.99108,0.79566,0.67401,0.64507,1.64177,0.000845152,0.000845152,0.000845152
10,20.4074,0.62792,0.76495,1.3314,0.98448,0.97892,0.99284,0.83707,0.65216,0.60359,1.67935,0.000936341,0.000936341,0.000936341
11,21.9314,0.60824,0.71613,1.33943,0.98454,0.9829,0.99403,0.87083,0.56256,0.57543,1.88245,0.00102654,0.00102654,0.00102654
12,23.411,0.58753,0.68184,1.41665,0.99376,0.98306,0.99438,0.86852,0.5606,0.5845,1.6583,0.00111575,0.00111575,0.00111575
13,24.7562,0.62696,0.66998,1.33103,0.98446,0.97748,0.98928,0.82192,0.64601,0.65154,1.58854,0.00120397,0.00120397,0.00120397
14,26.1153,0.58428,0.61916,1.28624,0.98446,0.97748,0.98928,0.82192,0.64601,0.65154,1.58854,0.0012912,0.0012912,0.0012912
15,27.4271,0.66169,0.65799,1.26196,0.97547,0.98185,0.99155,0.78566,0.67741,0.79414,1.5025,0.00137744,0.00137744,0.00137744
16,28.7581,0.62972,0.61534,1.32445,0.99356,0.9784,0.99373,0.83912,0.60253,0.6858,1.67279,0.00146269,0.00146269,0.00146269
17,30.1084,0.60013,0.61486,1.24534,0.98302,0.97222,0.99246,0.8534,0.60456,0.68063,1.69377,0.00154694,0.00154694,0.00154694
18,31.4489,0.59862,0.62128,1.31594,0.98302,0.97222,0.99246,0.8534,0.60456,0.68063,1.69377,0.00163021,0.00163021,0.00163021
19,32.8369,0.61111,0.59519,1.37322,0.97371,0.96914,0.98905,0.85852,0.58202,0.72118,2.03532,0.00171249,0.00171249,0.00171249
20,34.2104,0.62107,0.58938,1.32763,0.97833,0.97528,0.99297,0.8498,0.63276,0.79527,2.0529,0.00179378,0.00179378,0.00179378
21,35.561,0.55208,0.54727,1.35483,0.97833,0.97528,0.99297,0.8498,0.63276,0.79527,2.0529,0.001802,0.001802,0.001802
22,36.9028,0.5862,0.56762,1.30428,0.99181,0.97222,0.99214,0.86712,0.57459,0.66288,1.68124,0.0017921,0.0017921,0.0017921
23,38.2453,0.58727,0.56398,1.26627,0.98436,0.96296,0.99195,0.87403,0.54516,0.59542,1.85143,0.0017822,0.0017822,0.0017822
24,39.7067,0.5578,0.52122,1.33563,0.98436,0.96296,0.99195,0.87403,0.54516,0.59542,1.85143,0.0017723,0.0017723,0.0017723
25,41.1643,0.54137,0.51422,1.28398,0.95747,0.95062,0.9869,0.86566,0.58365,0.63996,1.72492,0.0017624,0.0017624,0.0017624
26,42.4769,0.53065,0.50365,1.27724,0.95747,0.95062,0.9869,0.86566,0.58365,0.63996,1.72492,0.0017525,0.0017525,0.0017525
27,43.796,0.55236,0.50652,1.35469,0.94873,0.97094,0.98988,0.86946,0.57559,0.64456,1.88217,0.0017426,0.0017426,0.0017426
28,45.1061,0.5639,0.49567,1.44788,0.96815,0.9321,0.98529,0.86314,0.56709,0.55986,1.72015,0.0017327,0.0017327,0.0017327
29,46.4085,0.55231,0.48298,1.29178,0.96815,0.9321,0.98529,0.86314,0.56709,0.55986,1.72015,0.0017228,0.0017228,0.0017228
30,47.7073,0.51982,0.46825,1.28379,0.96089,0.98457,0.9901,0.88813,0.50878,0.47962,1.72886,0.0017129,0.0017129,0.0017129
31,49.1333,0.49877,0.46223,1.25787,0.9761,0.96605,0.98923,0.87274,0.52742,0.45195,1.84873,0.001703,0.001703,0.001703
32,50.436,0.47753,0.42777,1.27364,0.9761,0.96605,0.98923,0.87274,0.52742,0.45195,1.84873,0.0016931,0.0016931,0.0016931
33,51.7338,0.50971,0.4348,1.27724,0.98326,0.95679,0.98557,0.87657,0.52083,0.46492,1.98969,0.0016832,0.0016832,0.0016832
34,53.0382,0.5675,0.4495,1.21574,0.98326,0.95679,0.98557,0.87657,0.52083,0.46492,1.98969,0.0016733,0.0016733,0.0016733
35,54.3297,0.5175,0.42985,1.22813,0.9655,0.95005,0.9784,0.87177,0.51422,0.45694,2.19672,0.0016634,0.0016634,0.0016634
36,55.6233,0.50003,0.4266,1.28757,0.9761,0.95679,0.98766,0.85389,0.55404,0.41459,1.98618,0.0016535,0.0016535,0.0016535
37,56.9269,0.49207,0.42811,1.29024,0.9761,0.95679,0.98766,0.85389,0.55404,0.41459,1.98618,0.0016436,0.0016436,0.0016436
38,58.2284,0.4995,0.43705,1.21529,0.97639,0.98148,0.98939,0.86075,0.50326,0.39624,1.67323,0.0016337,0.0016337,0.0016337
39,59.521,0.52701,0.43524,1.25683,0.98516,0.98765,0.99347,0.88511,0.47929,0.36551,1.83825,0.0016238,0.0016238,0.0016238
40,60.8174,0.46531,0.40119,1.31766,0.98516,0.98765,0.99347,0.88511,0.47929,0.36551,1.83825,0.0016139,0.0016139,0.0016139
41,62.1055,0.463,0.39564,1.25366,0.99036,0.98765,0.99469,0.86719,0.51976,0.37695,1.7623,0.001604,0.001604,0.001604
42,63.3897,0.46773,0.37685,1.2643,0.99036,0.98765,0.99469,0.86719,0.51976,0.37695,1.7623,0.0015941,0.0015941,0.0015941
43,64.6606,0.48115,0.36966,1.25529,0.99357,0.98765,0.99479,0.87616,0.50947,0.36084,1.69722,0.0015842,0.0015842,0.0015842
44,65.9507,0.49599,0.38871,1.25957,0.98807,0.98765,0.9946,0.88354,0.51778,0.35427,1.74108,0.0015743,0.0015743,0.0015743
45,67.2484,0.45739,0.3709,1.20826,0.98807,0.98765,0.9946,0.88354,0.51778,0.35427,1.74108,0.0015644,0.0015644,0.0015644
46,68.5378,0.48484,0.38905,1.25774,0.99069,0.98506,0.99463,0.87593,0.53977,0.35089,1.89409,0.0015545,0.0015545,0.0015545
47,69.8287,0.47351,0.37234,1.2269,0.99377,0.98388,0.99456,0.89545,0.4781,0.35532,1.765,0.0015446,0.0015446,0.0015446
48,71.2467,0.46696,0.3827,1.2186,0.99377,0.98388,0.99456,0.89545,0.4781,0.35532,1.765,0.0015347,0.0015347,0.0015347
49,72.7065,0.47338,0.39644,1.33646,0.99287,0.98457,0.99463,0.88498,0.50527,0.35316,1.69483,0.0015248,0.0015248,0.0015248
50,73.9827,0.46949,0.35819,1.1969,0.99287,0.98457,0.99463,0.88498,0.50527,0.35316,1.69483,0.0015149,0.0015149,0.0015149
51,75.2675,0.47243,0.37421,1.29452,0.99374,0.98032,0.99438,0.87647,0.52527,0.34829,1.76194,0.001505,0.001505,0.001505
52,76.5545,0.44371,0.35404,1.32366,0.99367,0.96877,0.99397,0.88788,0.51796,0.36571,1.66884,0.0014951,0.0014951,0.0014951
53,77.8301,0.46518,0.36027,1.22992,0.99367,0.96877,0.99397,0.88788,0.51796,0.36571,1.66884,0.0014852,0.0014852,0.0014852
54,79.1225,0.45282,0.36766,1.27001,0.99064,0.98042,0.99441,0.88752,0.502,0.34716,1.70846,0.0014753,0.0014753,0.0014753
55,80.4153,0.46317,0.36941,1.26827,0.99258,0.96914,0.99424,0.8677,0.54986,0.36141,1.86387,0.0014654,0.0014654,0.0014654
56,81.7084,0.45283,0.34472,1.23525,0.99258,0.96914,0.99424,0.8677,0.54986,0.36141,1.86387,0.0014555,0.0014555,0.0014555
57,83.032,0.44492,0.34804,1.22175,0.99364,0.96472,0.9937,0.88519,0.50548,0.35487,1.92763,0.0014456,0.0014456,0.0014456
58,84.3114,0.4253,0.34574,1.20471,0.99364,0.96472,0.9937,0.88519,0.50548,0.35487,1.92763,0.0014357,0.0014357,0.0014357
59,85.6006,0.45394,0.35107,1.24028,0.99681,0.96544,0.99307,0.89732,0.48281,0.34774,1.83344,0.0014258,0.0014258,0.0014258
60,87.0151,0.45358,0.34308,1.21236,0.9853,0.97531,0.99341,0.8889,0.48765,0.34207,1.96831,0.0014159,0.0014159,0.0014159
61,88.3058,0.43314,0.33973,1.27315,0.9853,0.97531,0.99341,0.8889,0.48765,0.34207,1.96831,0.001406,0.001406,0.001406
62,89.5947,0.44494,0.3417,1.27291,0.99682,0.96765,0.99327,0.8834,0.53132,0.34711,2.1253,0.0013961,0.0013961,0.0013961
63,90.8839,0.43037,0.33391,1.26778,0.99365,0.96623,0.99404,0.89063,0.51552,0.33961,1.86212,0.0013862,0.0013862,0.0013862
64,92.176,0.45406,0.34404,1.25922,0.99365,0.96623,0.99404,0.89063,0.51552,0.33961,1.86212,0.0013763,0.0013763,0.0013763
65,93.4707,0.43341,0.33857,1.16568,0.99576,0.96914,0.98969,0.89938,0.48463,0.37072,1.69342,0.0013664,0.0013664,0.0013664
66,94.8838,0.43545,0.3326,1.20311,0.99576,0.96914,0.98969,0.89938,0.48463,0.37072,1.69342,0.0013565,0.0013565,0.0013565
67,96.3357,0.4477,0.34708,1.22944,1,0.96913,0.99005,0.89717,0.49724,0.37217,1.69896,0.0013466,0.0013466,0.0013466
68,97.6279,0.45226,0.35115,1.31199,1,0.97157,0.99393,0.90124,0.49111,0.33048,1.97753,0.0013367,0.0013367,0.0013367
69,99.0348,0.44722,0.34635,1.32494,1,0.97157,0.99393,0.90124,0.49111,0.33048,1.97753,0.0013268,0.0013268,0.0013268
70,100.473,0.43426,0.3389,1.2705,0.99915,0.97222,0.99437,0.89068,0.51734,0.34138,1.75237,0.0013169,0.0013169,0.0013169
71,101.782,0.43713,0.33046,1.25776,1,0.97172,0.99284,0.88809,0.50624,0.36433,1.65054,0.001307,0.001307,0.001307
72,103.081,0.40651,0.3287,1.16911,1,0.97172,0.99284,0.88809,0.50624,0.36433,1.65054,0.0012971,0.0012971,0.0012971
73,104.37,0.41056,0.32353,1.2543,0.99679,0.95912,0.98689,0.88559,0.52247,0.37316,1.88569,0.0012872,0.0012872,0.0012872
74,105.659,0.41179,0.31875,1.19979,0.99679,0.95912,0.98689,0.88559,0.52247,0.37316,1.88569,0.0012773,0.0012773,0.0012773
75,106.952,0.39896,0.31241,1.22423,0.99676,0.94956,0.9821,0.88284,0.50898,0.37401,1.933,0.0012674,0.0012674,0.0012674
76,108.264,0.3993,0.3045,1.20252,0.9951,0.96296,0.99012,0.88695,0.50684,0.36063,1.74587,0.0012575,0.0012575,0.0012575
77,109.548,0.4298,0.32305,1.26905,0.9951,0.96296,0.99012,0.88695,0.50684,0.36063,1.74587,0.0012476,0.0012476,0.0012476
78,110.843,0.43129,0.33192,1.25108,0.99047,0.96262,0.99189,0.88464,0.5243,0.36507,1.68559,0.0012377,0.0012377,0.0012377
79,112.136,0.42471,0.31723,1.16548,0.99679,0.95965,0.99289,0.89662,0.49478,0.34492,1.78279,0.0012278,0.0012278,0.0012278
80,113.435,0.39563,0.31034,1.25849,0.99679,0.95965,0.99289,0.89662,0.49478,0.34492,1.78279,0.0012179,0.0012179,0.0012179
81,114.73,0.396,0.31122,1.16707,0.99641,0.96296,0.99281,0.89453,0.48814,0.34511,1.71752,0.001208,0.001208,0.001208
82,116.043,0.39758,0.3047,1.12457,0.99641,0.96296,0.99281,0.89453,0.48814,0.34511,1.71752,0.0011981,0.0011981,0.0011981
83,117.334,0.39706,0.31227,1.18218,0.99369,0.97207,0.99372,0.88929,0.48973,0.32981,1.9455,0.0011882,0.0011882,0.0011882
84,118.628,0.3821,0.29739,1.15387,0.99374,0.97968,0.99409,0.89529,0.48611,0.314,2.02323,0.0011783,0.0011783,0.0011783
85,119.913,0.38776,0.28523,1.14607,0.99374,0.97968,0.99409,0.89529,0.48611,0.314,2.02323,0.0011684,0.0011684,0.0011684
86,121.208,0.40349,0.30937,1.22087,0.99669,0.98148,0.99427,0.89841,0.47382,0.30754,2.02101,0.0011585,0.0011585,0.0011585
87,122.502,0.37306,0.29564,1.2383,0.99498,0.98148,0.99451,0.89296,0.48827,0.31826,1.90559,0.0011486,0.0011486,0.0011486
88,123.824,0.39845,0.30432,1.19863,0.99498,0.98148,0.99451,0.89296,0.48827,0.31826,1.90559,0.0011387,0.0011387,0.0011387
89,125.117,0.39228,0.29421,1.18119,0.9876,0.98351,0.99447,0.89807,0.49275,0.30982,1.92336,0.0011288,0.0011288,0.0011288
90,126.401,0.39811,0.30011,1.18587,0.9876,0.98351,0.99447,0.89807,0.49275,0.30982,1.92336,0.0011189,0.0011189,0.0011189
91,127.686,0.39491,0.30123,1.23508,0.98464,0.98906,0.99463,0.89573,0.47744,0.30423,1.96831,0.001109,0.001109,0.001109
92,128.981,0.37808,0.29728,1.16532,0.99574,0.97222,0.99436,0.89256,0.49117,0.31366,1.91615,0.0010991,0.0010991,0.0010991
93,130.27,0.37464,0.28891,1.15271,0.99574,0.97222,0.99436,0.89256,0.49117,0.31366,1.91615,0.0010892,0.0010892,0.0010892
94,131.59,0.39145,0.30038,1.20231,0.99683,0.97019,0.99431,0.90277,0.46733,0.30916,1.86598,0.0010793,0.0010793,0.0010793
95,133.037,0.38818,0.27379,1.11408,0.98309,0.98148,0.99422,0.90237,0.44997,0.29977,1.93893,0.0010694,0.0010694,0.0010694
96,134.333,0.38589,0.28878,1.19129,0.98309,0.98148,0.99422,0.90237,0.44997,0.29977,1.93893,0.0010595,0.0010595,0.0010595
97,135.626,0.38389,0.28656,1.13568,0.99683,0.97104,0.99407,0.89747,0.48674,0.31407,1.94619,0.0010496,0.0010496,0.0010496
98,136.913,0.37511,0.28841,1.19603,0.99683,0.97104,0.99407,0.89747,0.48674,0.31407,1.94619,0.0010397,0.0010397,0.0010397
99,138.223,0.3858,0.2874,1.15644,0.99682,0.96867,0.99393,0.89107,0.51501,0.3329,1.82926,0.0010298,0.0010298,0.0010298
100,139.513,0.38705,0.29049,1.25049,0.99339,0.96914,0.99349,0.90171,0.46725,0.30996,1.92091,0.0010199,0.0010199,0.0010199
101,140.796,0.3715,0.28414,1.15586,0.99339,0.96914,0.99349,0.90171,0.46725,0.30996,1.92091,0.00101,0.00101,0.00101
102,142.087,0.36502,0.28114,1.16747,0.99367,0.96888,0.99329,0.89751,0.48974,0.33149,1.78835,0.0010001,0.0010001,0.0010001
