epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.61916,2.05728,3.66312,2.52067,0.02183,0.39222,0.01697,0.00525,1.62225,3.33191,2.44038,8e-05,8e-05,8e-05
2,3.44504,1.76671,3.42384,2.30121,0.48892,0.5479,0.48894,0.24408,1.1218,2.50246,1.87909,0.000179109,0.000179109,0.000179109
3,5.81394,1.06268,2.39859,1.71534,0.71245,0.65569,0.76901,0.52072,0.9587,1.49345,1.51076,0.000277228,0.000277228,0.000277228
4,8.12723,0.85919,1.46484,1.50639,0.91202,0.96108,0.95843,0.69795,0.84679,0.99291,1.45728,0.000374357,0.000374357,0.000374357
5,10.2092,0.78415,1.12079,1.43702,0.96484,0.98204,0.98989,0.79633,0.74783,0.81737,1.4684,0.000470496,0.000470496,0.000470496
6,12.1816,0.71676,1.01153,1.50433,0.97625,0.98469,0.99281,0.81665,0.71365,0.74395,1.55383,0.000565645,0.000565645,0.000565645
7,14.0751,0.72602,0.90909,1.43147,0.99122,0.99401,0.99497,0.80093,0.7129,0.66177,1.38529,0.000659804,0.000659804,0.000659804
8,15.7477,0.71678,0.87963,1.48585,0.98235,0.98802,0.9944,0.82076,0.70397,0.67482,1.39587,0.000752973,0.000752973,0.000752973
9,17.4159,0.65194,0.81883,1.4278,0.97401,0.97605,0.99369,0.83132,0.69121,0.63472,1.37494,0.000845152,0.000845152,0.000845152
10,18.9631,0.62255,0.78451,1.36772,0.99402,0.99486,0.99494,0.8412,0.60851,0.64394,1.4613,0.000936341,0.000936341,0.000936341
11,20.4875,0.61478,0.71977,1.36991,0.9962,0.99701,0.995,0.84793,0.62634,0.54878,1.38061,0.00102654,0.00102654,0.00102654
12,22.0141,0.61414,0.71526,1.35924,0.99559,1,0.99464,0.86542,0.58199,0.5027,1.37175,0.00111575,0.00111575,0.00111575
13,23.5026,0.59617,0.67549,1.32159,0.98763,1,0.99375,0.86359,0.57923,0.53939,1.44547,0.00120397,0.00120397,0.00120397
14,24.8432,0.55995,0.60423,1.26281,0.98763,1,0.99375,0.86359,0.57923,0.53939,1.44547,0.0012912,0.0012912,0.0012912
15,26.1768,0.60264,0.6274,1.43613,0.98416,1,0.99473,0.852,0.61655,0.65222,1.92708,0.00137744,0.00137744,0.00137744
16,27.5098,0.61555,0.60329,1.48436,0.98253,0.99701,0.99433,0.85146,0.63523,0.66034,1.5549,0.00146269,0.00146269,0.00146269
17,28.8466,0.63554,0.61043,1.34883,0.97048,0.99102,0.99251,0.84791,0.68751,0.62914,1.39814,0.00154694,0.00154694,0.00154694
